"price","mileage","year","model","date","origin","website_id","car_id","perthousand_mileage","predicted","residuals"
16999,23237,"2015","Scion xB","2020-12-17","truecar",3,1,23.237,13720.3123529628,3278.68764703722
3995,303808,"2012","Scion xB","2020-12-17","truecar",3,1,303.808,1714.47342001983,2280.52657998015
11359,76608,"2014","Scion xB","2020-12-17","truecar",3,1,76.608,10640.2585194785,718.741480521492
8995,64633,"2008","Scion xB","2020-12-17","truecar",3,1,64.633,8368.53539025705,626.464609742936
10434,81591,"2014","Scion xB","2020-12-17","truecar",3,1,81.591,10472.2798781347,-38.2798781347626
8995,85079,"2012","Scion xB","2020-12-17","truecar",3,1,85.079,9087.90312952733,-92.9031295273508
15705,75677,"2015","Scion xB","2020-12-17","truecar",3,1,75.677,11952.5419431562,3752.45805684376
9495,90910,"2013","Scion xB","2020-12-17","truecar",3,1,90.91,9530.27564898811,-35.2756489881337
9995,66331,"2012","Scion xB","2020-12-17","truecar",3,1,66.331,9719.90464827358,275.095351726408
7995,96183,"2008","Scion xB","2020-12-17","truecar",3,1,96.183,7304.9740548376,690.025945162389
11428,50942,"2013","Scion xB","2020-12-17","truecar",3,1,50.942,10877.6106554555,550.389344544522
7994,104087,"2008","Scion xB","2020-12-17","truecar",3,1,104.087,7038.52750031603,955.472499683955
6000,103079,"2005","Scion xB","2020-12-17","truecar",3,1,103.079,6966.5605355562,-966.560535556213
8749,110080,"2012","Scion xB","2020-12-17","truecar",3,1,110.08,8245.11083327308,503.889166726905
5985,120000,"2006","Scion xB","2020-12-17","truecar",3,1,120,6354.63061979289,-369.630619792906
10797,40395,"2012","Scion xB","2020-12-17","truecar",3,1,40.395,10594.2161156409,202.783884359088
9995,71012,"2013","Scion xB","2020-12-17","truecar",3,1,71.012,10201.0440626863,-206.044062686272
6995,89389,"2005","Scion xB","2020-12-17","truecar",3,1,89.389,7428.05513720096,-433.055137200977
8995,72036,"2010","Scion xB","2020-12-17","truecar",3,1,72.036,9215.47029907441,-220.470299074426
6995,124166,"2009","Scion xB","2020-12-17","truecar",3,1,124.166,7036.21233233066,-41.2123323306716
10351,91104,"2012","Scion xB","2020-12-17","truecar",3,1,91.104,8884.79831032283,1466.20168967716
8995,96791,"2009","Scion xB","2020-12-17","truecar",3,1,96.791,7959.032983903,1035.96701609698
9072,83124,"2012","Scion xB","2021-01-28","autotrader",1,1,83.124,9153.80685094556,-81.8068509455763
11950,69573,"2015","Scion xB","2021-01-28","autotrader",1,1,69.573,12158.3098794922,-208.309879492228
9495,94024,"2014","Scion xB","2021-01-28","autotrader",1,1,94.024,10053.1591781896,-558.159178189594
10997,31928,"2011","Scion xB","2021-01-28","autotrader",1,1,31.928,10841.2671712706,155.732828729346
13452,61192,"2015","Scion xB","2021-01-28","autotrader",1,1,61.192,12440.836267833,1011.16373216703
8550,83226,"2012","Scion xB","2021-01-28","autotrader",1,1,83.226,9150.36839591504,-600.36839591506
10991,87325,"2015","Scion xB","2021-01-28","autotrader",1,1,87.325,11559.8838628087,-568.883862808673
5986,172853,"2010","Scion xB","2021-01-28","autotrader",1,1,172.853,5816.89460484357,169.105395156416
7990,100343,"2009","Scion xB","2021-01-28","autotrader",1,1,100.343,7839.29384401679,150.706155983191
13990,32893,"2014","Scion xB","2021-01-28","autotrader",1,1,32.893,12113.9061828021,1876.09381719783
11990,52297,"2011","Scion xB","2021-01-28","autotrader",1,1,52.297,10154.6211858139,1835.37881418604
16000,21659,"2015","Scion xB 686 Parklan Edition","2021-01-28","autotrader",1,1,21.659,13773.5072749055,2226.49272509453
9835,104759,"2015","Scion xB","2021-01-28","autotrader",1,1,104.759,10972.1777353379,-1137.1777353379
9871,69300,"2013","Scion xB","2021-01-28","autotrader",1,1,69.3,10258.7561706494,-387.756170649445
8292,108269,"2012","Scion xB","2021-01-28","autotrader",1,1,108.269,8306.16026523646,-14.1602652364738
9998,59695,"2011","Scion xB","2021-01-28","autotrader",1,1,59.695,9905.23206507121,92.7679349287735
8997,48963,"2012","Scion xB","2021-01-28","autotrader",1,1,48.963,10305.3858930775,-1308.38589307756
13481,50209,"2015","Scion xB 686 Parklan Edition","2021-01-28","autotrader",1,1,50.209,12811.0769697953,669.923030204688
7408,114396,"2012","Scion xB","2021-01-28","autotrader",1,1,114.396,8099.61699100144,-691.61699100145
8886,75302,"2015","Scion xB","2021-01-28","autotrader",1,1,75.302,11965.1833219449,-3079.1833219449
12481,49851,"2015","Scion xB","2021-01-28","autotrader",1,1,49.851,12823.1452727455,-342.145272745555
13500,18451,"2014","Scion xB","2021-01-28","autotrader",1,1,18.451,12600.7509627111,899.249037288873
8982,109076,"2012","Scion xB","2021-01-28","autotrader",1,1,109.076,8278.95601808326,703.043981916726
9495,92793,"2014","Scion xB","2021-01-28","autotrader",1,1,92.793,10094.6566109598,-599.656610959842
5999,147998,"2010","Scion xB","2021-01-28","autotrader",1,1,147.998,6654.7651909561,-655.76519095612
12988,49235,"2015","Scion xB","2021-01-28","autotrader",1,1,49.235,12843.9108443024,144.089155697603
9500,89672,"2013","Scion xB 10 Series","2021-01-28","autotrader",1,1,89.672,9572.00905416242,-72.0090541624371
8987,89348,"2014","Scion xB","2021-01-28","autotrader",1,1,89.348,10210.7887440983,-1223.78874409835
7591,88065,"2012","Scion xB","2021-01-28","autotrader",1,1,88.065,8987.24404402615,-1396.24404402616
11580,74538,"2015","Scion xB","2021-01-28","autotrader",1,1,74.538,11990.9380243303,-410.938024330337
10995,87590,"2014","Scion xB","2021-01-28","autotrader",1,1,87.59,10270.0515278596,724.948472140398
5589,184143,"2012","Scion xB","2021-01-28","autotrader",1,1,184.143,5748.42166734056,-159.421667340575
6495,138401,"2008","Scion xB","2021-01-28","autotrader",1,1,138.401,5881.79077563828,613.209224361709
9988,46000,"2014","Scion xB","2021-01-28","autotrader",1,1,46,11672.0647113808,-1684.06471138084
10988,101440,"2013","Scion xB","2021-01-28","autotrader",1,1,101.44,9175.30573260247,1812.6942673975
3880,150482,"2006","Scion xB","2021-01-28","autotrader",1,1,150.482,5327.07193116355,-1447.07193116356
8990,85961,"2013","Scion xB","2021-01-28","autotrader",1,1,85.961,9697.10813865502,-707.108138655039
11995,73441,"2013","Scion xB 10 Series","2021-01-28","autotrader",1,1,73.441,10119.1616384792,1875.83836152082
7995,118150,"2006","Scion xB","2021-01-28","autotrader",1,1,118.15,6416.99475515029,1578.00524484969
4988,145000,"2009","Scion xB","2021-01-28","autotrader",1,1,145,6333.89103717601,-1345.89103717603
5999,156220,"2011","Scion xB","2021-01-28","autotrader",1,1,156.22,6651.34116486954,-652.341164869553
